,Date,User,Tweet
0,2023-02-28 07:22:02+00:00,Danske_Research,Finnish 🇫🇮 economy fell into a shallow recession in H2 2023. Q4 GDP was down 0.6% q/q. https://t.co/57rK7Q8B2A Q1 2023 looks weak as well. Consumer home and electronics buying intentions were at low levels in February. Export demand is likely to stay downbeat. https://t.co/9Qjv89JgYJ
1,2023-02-28 07:20:51+00:00,ritheshsreeniv,@Risheel1 @abhishek Not during these recession times
2,2023-02-28 07:19:44+00:00,MarsPioneer,CBI says UK recession could turn into a 'lost decade' of growth | CNN Business https://t.co/O8OrMxRl0g
3,2023-02-28 07:18:59+00:00,macxidy,"This recession has got me all kinds of exhausted with the world and its superficial inhuman monetary greed. I just don’t have patience for these kinds of “opinions” anymore, pfft. The world already treats artists like trash. We stand together in the cool shit we contribute to it."
4,2023-02-28 07:18:04+00:00,jack_hoogland,"Finland’s economy contracted more in the fourth quarter than a flash estimate had indicated, affirming that the Nordic nation has entered a recession.
https://t.co/j9JkP1rdao https://t.co/PabIO45Z0r"
5,2023-02-28 07:17:29+00:00,SkyNewsAust,"The Australian's Washington Correspondent Adam Creighton says there is “doom and gloom” in the US as fears grow for a recession, with the cash rate continuing to climb.

https://t.co/opE91cwtT1"
6,2023-02-28 07:16:35+00:00,christy_gren,Bond King Jeffrey Gundlach Prepares for Recession 2023 https://t.co/WLH59sjLOR https://t.co/qWU2vcOdql
7,2023-02-28 07:16:02+00:00,gimmegimmehoney,"@LukeVlahov @BGDChocsin @not_our_guy That's not how recession works and no, they weren't"
8,2023-02-28 07:15:29+00:00,MarkFlegm,"@macastel3 It has to be demand driven. With recession headwinds demand might drop and add in decoupling the long term will see, at a minimum, slower growth."
9,2023-02-28 07:14:53+00:00,ramaprasad4u,"@ikrishna25 Fancy numbers don't fool me. After every steep rise, there will be a pull back/cooling off. COVID is a global pendamic unlike a US recession.
Dont imply that the economy started booming just like that as soon as MMS took office. Every fruit you eat is from trees planted earlier"
10,2023-02-28 07:13:04+00:00,fxstreetcn,澳元/美元回吐盘中温和涨势，徘徊于日内低点，因美元小幅走强 https://t.co/2oQGRJ8bPl #AUDUSD #Fed #Bonds #Recession #Currencies
11,2023-02-28 07:12:20+00:00,kwakara91,@SwannMarcus89 It caused a glut in office space and a bubble in the late 80s that caused a very severe recession in the early 90s (in the Northeast and California).
12,2023-02-28 07:12:11+00:00,JSR_macro,"Exactly. #Forex markets in particular initially reacted as if finally, there was proof of a #recession in the US, when clearly the numbers were skewed by aircraft and, to a lesser extent, defence goods."
13,2023-02-28 07:12:11+00:00,FXCM_Markets,"Finland’s economy contracted more in the fourth quarter than a flash estimate had indicated, affirming that the Nordic nation has entered a recession
https://t.co/BwgtHH5htx"
14,2023-02-28 07:11:52+00:00,swordsnhammer,"@rajeshwarbal1 @TanyaGhosh2312 @anandmahindra He's a nice person. When had met him he asked ""Man, How Come, when all were hit with recession you started🤔
I said: Ur team saw recession, I saw opportunity. He asked Mr Goenka to share cards. 
I didn't compromise so now take pictures 🤣WTD ek din fir milange 🤣 https://t.co/1En0Z20p9Z"
15,2023-02-28 07:11:08+00:00,gimmegimmehoney,"@LukeVlahov @BGDChocsin @not_our_guy No. Hitler needed war, otherwise his little economic miracle would lead to another recession.

That's all."
16,2023-02-28 07:10:36+00:00,KingGrover1974,"@vanOnselenP Basic economics.  RBA set the interest rates to keep inflation to a reasonable level to stop a recession/depression (only have 1 tool).  Their decisions are based on the economy, debt and government policies.  The cant set government polices.  Labor using the RBA as a scapegoat"
17,2023-02-28 07:10:09+00:00,kellykhisa96,@k_u_r_i_a Wakifunza shape of recession or  an economic depression ulikuwa umeenda kula malaya na kusema wakusignie ! . Change or perish
18,2023-02-28 07:10:05+00:00,business,"Finland’s economy contracted more in the fourth quarter than a flash estimate had indicated, affirming that the Nordic nation has entered a recession https://t.co/s4U9cpvzdk"
19,2023-02-28 07:09:39+00:00,FXCM_Markets,"AUD/USD surrenders modest intraday gains, flirts with daily low amid modest USD strength – by @hareshmenghani

https://t.co/f5bOb9RMc8

 #AUDUSD #Fed #Bonds #Recession #Currencies"
20,2023-02-28 07:08:05+00:00,noticiasfx,"Secretaria del Tesoro de EE.UU.: “De momento, todo va bien” en la lucha contra la inflación – Janet Yellen https://t.co/1AbooHA24X #Inflation #UnitedStates #Recession #GDP #DollarIndex"
21,2023-02-28 07:07:36+00:00,FXStreetNews,"AUD/USD surrenders modest intraday gains, flirts with daily low amid modest USD strength – by @hareshmenghani

https://t.co/cQfg0jvYh4

 #AUDUSD #Fed #Bonds #Recession #Currencies"
22,2023-02-28 07:06:42+00:00,InvariantPersp1,#recession ... #Tech Bubble 2.0 edition
23,2023-02-28 07:02:12+00:00,investing_nomad,"This week, Bloomberg Intelligence Senior Macro Strategist Mike McGlone shared his March outlook and noted that the “top catalyst” that could push gold above the $2,000-per-ounce range is a recession. McGlone further exp...  https://t.co/LhRReYyOap"
24,2023-02-28 07:01:19+00:00,quid_central,Pivoted from fears of a recession to it being a necessity to cool off inflation. Tricky time to invest judging from all the volatility 😏
25,2023-02-28 07:01:06+00:00,Donkeykong2Dk,"@MaximusNortius @RawiriTaonui You speak rubbish. PAYE was reduced slightly for all brackets including company tax after inheriting an economic recession, an empty bank account and a GFC. Short memories."
26,2023-02-28 07:00:20+00:00,doola_peep,Who didn’t tell me being an adult during a recession is so fucking terrible
27,2023-02-28 07:00:17+00:00,tvilling,"@HthHans Et oplagt projekt til en periode med recession, skulle den komme."
28,2023-02-28 06:59:55+00:00,FarrellRoger,"@ClayEadon @Otto_English Yes. We are “running fastest”. Have been for the last two years. And now Germany has announced its in recession, they’ve fallen down. The U.K. is not in recession."
29,2023-02-28 06:59:38+00:00,index_trading,"@RyanDetrick @FrankCappelleri it is strange, what could be the fundamental reason? maybe market priced in a lower recession risk and lower default risk."
30,2023-02-28 06:59:34+00:00,DAMNjoon94,sponsored by ✨economic recession✨ &amp; our trash gov™
31,2023-02-28 06:59:18+00:00,DelmontPaulJ,"This was the main cause of the 2008 Great Recession, though Democrats dodged the blame. The mortgage default map was a geography of black and Hispanic neighborhoods. Trying to achieve instant equity doesn't work."
32,2023-02-28 06:58:59+00:00,InvariantPersp1,#recession ... #GFC2 US #Housing Bubble 2.0 edition
33,2023-02-28 06:57:19+00:00,tavarish555,"People prepare for what's coming only horrible things that will drive civilization to dehumanization, perversion, greed, power hungry, despotic government
Dollar will collapse, the economy will enter a recession no men has ever seen or heard, war and chaos will follow"
34,2023-02-28 06:57:18+00:00,_TheOnlyC_,@realDrBrendan Reminds me of how the US changed the meaning of recession
35,2023-02-28 06:56:22+00:00,patronage_money,"Germany, like industrialized countries around the world, is facing deep labor shortages, particularly in skilled high-growth sectors, which are taking their toll on an economy that could yet face a recession this year."
36,2023-02-28 06:55:56+00:00,Anthonyvalueinv,"@marloweswords @JennaPrice The problem is, if you (everyone that thinks this) is wrong, we will go into high inflation and a recession. A substantially worse situation for everyone. There seems to be an ideological approach creeping into this rather than facts and economics."
